127.0.0.1 - - [09/Dec/2022:21:11:18 +0900] "GET / HTTP/1.1" 200 29391
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:11:52 +0900] "GET / HTTP/1.1" 200 29391
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:11:55 +0900] "GET /images/x.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:11:55 +0900] "GET /images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:11:55 +0900] "GET /images/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:11:55 +0900] "GET /images/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:11:55 +0900] "GET /images/person.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:11:56 +0900] "GET /images/top1.jpg HTTP/1.1" 200 353968
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:11:56 +0900] "GET /images/heart-empty.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:11:57 +0900] "GET /images/cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:11:57 +0900] "GET /images/slide-prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:11:57 +0900] "GET /js/jquery-3.6.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:11:58 +0900] "GET /images/slide-next.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:12:03 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:21:12:16 +0900] "POST /product/getCategoryList.do HTTP/1.1" 200 657
